feature_id,feature_name,cat1_id,cat2_id,impact_factor
1,f_1,2,12,0.677581032445574
2,f_2,9,11,0.738584665461877
3,f_3,5,2,0.8982307427900529
4,f_4,5,1,0.8593928969735154
5,f_5,1,11,0.6187071308003739
6,f_6,9,10,0.6898261999497571
7,f_7,9,1,0.89271126323122
8,f_8,6,5,0.7293300026390677
9,f_9,1,5,0.8932154467927462
10,f_10,9,8,0.6437900066194251
11,f_11,12,5,0.6797894848495383
12,f_12,5,12,0.8921962596227064
13,f_13,3,2,0.6086044396796756
14,f_14,1,8,0.7193941241217874
15,f_15,11,8,0.9706387455752911
16,f_16,1,11,0.8331382905492819
17,f_17,10,12,0.7919095271735568
18,f_18,4,1,0.9110664872340942
19,f_19,3,11,0.8168006395444237
20,f_20,8,7,0.7854333708044874
21,f_21,9,10,0.9808345295770443
22,f_22,8,7,0.8597034618027519
23,f_23,5,7,0.8385897678185198
24,f_24,6,4,0.8190053360165772
25,f_25,8,4,0.9228645251406148
26,f_26,4,11,0.8845025435232816
27,f_27,2,11,0.7446704014830328
28,f_28,7,1,0.6119256771433818
29,f_29,3,9,0.6772723926207562
30,f_30,12,7,0.8668909478712277
31,f_31,10,6,0.8714578623775506
32,f_32,6,1,0.8443425775639452
33,f_33,7,5,0.760745381499818
34,f_34,3,2,0.9505702394628683
35,f_35,2,11,0.8368710335995231
36,f_36,10,5,0.6028718947241238
37,f_37,4,12,0.7957654383393665
38,f_38,8,5,0.9447702050427013
39,f_39,12,7,0.8346915206879923
40,f_40,2,8,0.6389841670649591
41,f_41,6,9,0.7162611180553865
42,f_42,3,1,0.7110267174884758
43,f_43,12,5,0.8629022026050679
44,f_44,2,11,0.6877246732591611
45,f_45,2,5,0.9820170681744228
46,f_46,8,4,0.8761080973670305
47,f_47,3,1,0.6616939761163351
48,f_48,3,6,0.6070039723823281
49,f_49,8,6,0.6729139059750427
50,f_50,6,12,0.9478721758002004
51,f_51,7,10,0.9515178767072271
52,f_52,10,8,0.7554165131218287
53,f_53,11,12,0.8288701586534042
54,f_54,12,3,0.7870263469281298
55,f_55,7,11,0.8549952943930383
56,f_56,2,8,0.9719300443168339
57,f_57,9,1,0.9215506457750262
58,f_58,7,10,0.9506101301570515
59,f_59,2,8,0.6762450701355982
60,f_60,2,5,0.8761313887991615
61,f_61,9,5,0.9411833400595123
62,f_62,9,1,0.7288500815737817
63,f_63,3,2,0.6043872052094583
64,f_64,3,6,0.8842795274086122
65,f_65,2,10,0.8926459816027058
