scenario,seed,N,status_code,status_name,energy_total,raw_objective,penE_total,qterm_total_signed,mip_gap,runtime_sec,gurobi_runtime_sec,Rmin,affordability_enabled,is_feasible,energy_decomp_error,index_map_file,qubo_file,enforce_onehot
S1_cost_only,1009,20,2,OPTIMAL,-1188958.243271514,-1498.0774121283325,0.0,-1187460.1658593859,0.0,0.006792799999999988,0.00800013542175293,2,False,True,1.9582743546419042e-16,index_map_S1_cost_only_N20.json,qubo_Q_S1_cost_only_N20.npz,True
S1_cost_only,1009,30,2,OPTIMAL,-3353018.311901309,-780.0347191128917,0.0,-3352238.2771821963,0.0,0.008396999999999988,0.006999969482421875,3,False,True,0.0,index_map_S1_cost_only_N30.json,qubo_Q_S1_cost_only_N30.npz,True
S1_cost_only,1009,40,2,OPTIMAL,-8011424.600109637,-188.2547545858797,0.0,-8011236.3453550525,0.0,0.012033599999999978,0.011999845504760742,4,False,True,2.3249861818651664e-16,index_map_S1_cost_only_N40.json,qubo_Q_S1_cost_only_N40.npz,True
S1_cost_only,1009,50,2,OPTIMAL,-16176149.114804398,-30.35277026467611,0.0,-16176118.762034137,0.0,0.01653140000000003,0.016000032424926758,5,False,True,2.302952496309849e-16,index_map_S1_cost_only_N50.json,qubo_Q_S1_cost_only_N50.npz,True
S2_risk_adjusted,1009,20,2,OPTIMAL,-969929.2443124179,217530.9215469678,0.0,-1187460.1658593859,0.0,0.0066454000000000235,0.006999969482421875,2,False,True,1.2002455076964045e-16,index_map_S2_risk_adjusted_N20.json,qubo_Q_S2_risk_adjusted_N20.npz,True
S2_risk_adjusted,1009,30,2,OPTIMAL,-2799483.527917009,217530.9215469678,335223.8277182196,-3017014.4494639765,0.0,0.007641600000000026,0.006999969482421875,3,False,False,0.0,index_map_S2_risk_adjusted_N30.json,qubo_Q_S2_risk_adjusted_N30.npz,True
S2_risk_adjusted,1009,40,2,OPTIMAL,-7192951.275395232,818285.0699598186,0.0,-8011236.3453550525,0.0,0.012964199999999981,0.012000083923339844,4,False,True,2.5895422864915905e-16,index_map_S2_risk_adjusted_N40.json,qubo_Q_S2_risk_adjusted_N40.npz,True
S2_risk_adjusted,1009,50,2,OPTIMAL,-15288065.951967783,888052.8100663507,0.0,-16176118.762034137,0.0,0.015203700000000042,0.015000104904174805,5,False,True,2.4367309181985957e-16,index_map_S2_risk_adjusted_N50.json,qubo_Q_S2_risk_adjusted_N50.npz,True
S3_tight_regulation,1009,20,2,OPTIMAL,-2374885.612741584,34.71897718771197,0.0,-2374920.3317187717,0.0,0.005540500000000004,0.006000041961669922,3,False,True,0.0,index_map_S3_tight_regulation_N20.json,qubo_Q_S3_tight_regulation_N20.npz,True
S3_tight_regulation,1009,30,2,OPTIMAL,-5698052.309539529,752.7616702031528,0.0,-5698805.071209733,0.0,0.005862099999999981,0.005000114440917969,4,False,True,3.2689154961118307e-16,index_map_S3_tight_regulation_N30.json,qubo_Q_S3_tight_regulation_N30.npz,True
S3_tight_regulation,1009,40,2,OPTIMAL,-17434110.636513673,2109.644553201242,0.0,-17436220.28106688,0.0,0.005256700000000003,0.004999876022338867,6,False,True,4.2735650543133942e-16,index_map_S3_tight_regulation_N40.json,qubo_Q_S3_tight_regulation_N40.npz,True
S3_tight_regulation,1009,50,2,OPTIMAL,-23019126.565054223,734.7501482064017,0.0,-23019861.315202422,0.0,0.010866199999999993,0.009999990463256836,6,False,True,3.2366912688315017e-16,index_map_S3_tight_regulation_N50.json,qubo_Q_S3_tight_regulation_N50.npz,True
S4_affordability,1009,20,2,OPTIMAL,-1188458.243271514,-998.0774121283324,0.0,-1187460.1658593859,0.0,0.006472699999999998,0.006000041961669922,2,True,True,1.959098226395804e-16,index_map_S4_affordability_N20.json,qubo_Q_S4_affordability_N20.npz,True
S4_affordability,1009,30,2,OPTIMAL,-3352518.311901309,-280.0347191128917,0.0,-3352238.2771821963,0.0,0.007511500000000004,0.006999969482421875,3,True,True,0.0,index_map_S4_affordability_N30.json,qubo_Q_S4_affordability_N30.npz,True
S4_affordability,1009,40,2,OPTIMAL,-8010924.600109637,311.7452454141203,0.0,-8011236.3453550525,0.0,0.013034800000000013,0.012999773025512695,4,True,True,2.3251312953381997e-16,index_map_S4_affordability_N40.json,qubo_Q_S4_affordability_N40.npz,True
S4_affordability,1009,50,2,OPTIMAL,-16175649.114804398,469.6472297353239,0.0,-16176118.762034137,0.0,0.015574199999999983,0.015000104904174805,5,True,True,2.3030236820928726e-16,index_map_S4_affordability_N50.json,qubo_Q_S4_affordability_N50.npz,True
