member_id,age,age_group,region,risk_score,seed
1,9,pediatric,R1,1.0791286145754597,2006
2,17,pediatric,R2,0.39358519609366954,2006
3,2,pediatric,R2,0.48135707146655315,2006
4,1,pediatric,R3,0.8293129395667952,2006
5,72,senior,R3,1.2846211826760452,2006
6,45,adult,R3,0.8529175403931516,2006
7,53,adult,R3,2.015984474595209,2006
8,84,senior,R1,0.6004159758281764,2006
9,45,adult,R2,1.3432578370997432,2006
10,28,adult,R1,0.33085756877782657,2006
11,90,senior,R2,0.204548200635962,2006
12,38,adult,R2,1.863766006948214,2006
13,77,senior,R3,1.4966659882753992,2006
14,53,adult,R1,1.6778482172865703,2006
15,69,senior,R1,1.7805486033701692,2006
16,0,pediatric,R1,6.255701497472531,2006
17,38,adult,R3,0.7654005574974284,2006
18,30,adult,R3,0.2676692132346129,2006
19,34,adult,R2,0.35267471530323863,2006
20,11,pediatric,R2,0.5850354963074418,2006
21,35,adult,R1,0.16296822450035547,2006
22,45,adult,R2,2.3456548298535065,2006
23,65,senior,R2,0.9185220880031633,2006
24,76,senior,R2,0.7513900355308567,2006
25,63,adult,R2,1.9079636344091624,2006
26,77,senior,R1,1.2270976885416829,2006
27,44,adult,R2,0.5304336425707187,2006
28,77,senior,R2,1.4453009282715148,2006
29,29,adult,R3,1.1948129592377927,2006
30,13,pediatric,R3,4.380092705348358,2006
31,20,adult,R1,2.150817287890389,2006
32,42,adult,R3,0.7331378081875793,2006
33,9,pediatric,R2,0.5024568310080575,2006
34,48,adult,R3,1.1869183246721597,2006
35,25,adult,R2,1.6224301375664805,2006
36,12,pediatric,R3,0.23743325625698875,2006
37,23,adult,R1,0.3631615133180398,2006
38,46,adult,R3,0.587813194754312,2006
39,86,senior,R3,0.842884501308717,2006
40,39,adult,R3,0.4346675702869537,2006
41,42,adult,R1,0.3574111581083445,2006
42,47,adult,R1,1.723874235835215,2006
43,29,adult,R2,0.5548138266233541,2006
44,40,adult,R1,1.3571872415416066,2006
45,7,pediatric,R2,1.8999236102008936,2006
46,20,adult,R3,0.8380830714446063,2006
47,16,pediatric,R1,1.0879594591887907,2006
48,38,adult,R2,0.2137189113612464,2006
49,83,senior,R2,0.5660391066592231,2006
50,29,adult,R3,0.2528608828434233,2006
51,27,adult,R3,2.2659027048510634,2006
52,36,adult,R2,0.7709313680410346,2006
53,60,adult,R1,0.8755161868390363,2006
54,76,senior,R2,1.0854488924451857,2006
55,34,adult,R3,0.36763215824949247,2006
56,54,adult,R3,1.591738705143306,2006
57,55,adult,R2,0.5665010008474207,2006
58,17,pediatric,R3,0.5855715167350395,2006
59,12,pediatric,R3,1.204550711258513,2006
60,43,adult,R2,0.7006535155292004,2006
61,34,adult,R3,0.9592410921146808,2006
62,22,adult,R2,1.082126467354795,2006
63,51,adult,R3,1.787706738415899,2006
64,23,adult,R3,0.24287732794459632,2006
65,37,adult,R3,1.540582162017813,2006
66,78,senior,R2,0.9582011870569899,2006
67,23,adult,R3,2.550912926939523,2006
68,11,pediatric,R3,1.3581662990845507,2006
69,37,adult,R1,0.2214649361244111,2006
70,60,adult,R2,0.9826774834657063,2006
71,21,adult,R3,0.47467693507784675,2006
72,9,pediatric,R3,3.7034437567235163,2006
73,56,adult,R2,0.780129375404384,2006
74,50,adult,R1,0.5173668951556701,2006
75,54,adult,R2,1.1223155317206286,2006
76,61,adult,R2,0.3321176652826295,2006
77,83,senior,R1,0.43007327080347096,2006
78,44,adult,R3,0.2667512542744242,2006
79,7,pediatric,R1,2.9014703818089296,2006
80,51,adult,R2,0.9978030182785224,2006
81,20,adult,R2,1.652147701422621,2006
82,50,adult,R3,0.9909319043671703,2006
83,60,adult,R1,0.682614844145598,2006
84,27,adult,R3,1.6851493303545617,2006
85,45,adult,R3,2.880666250636825,2006
86,86,senior,R1,1.3790884342652796,2006
87,35,adult,R3,1.783200150530335,2006
88,56,adult,R3,1.8635432587066025,2006
89,89,senior,R2,0.5359416725109055,2006
90,59,adult,R3,0.4544312169806522,2006
91,73,senior,R3,0.6412040788395117,2006
92,6,pediatric,R2,0.9861191203990168,2006
93,27,adult,R1,1.162650265146565,2006
94,27,adult,R2,0.9863127250062017,2006
95,28,adult,R3,0.12853170226835908,2006
96,9,pediatric,R2,4.834916935513836,2006
97,30,adult,R2,1.3401371950661296,2006
98,2,pediatric,R3,2.900482532549207,2006
99,18,adult,R2,0.9868462044121777,2006
100,44,adult,R3,0.5947248257929268,2006
101,27,adult,R2,3.9696514457412952,2006
102,18,adult,R2,0.22360985138107747,2006
103,36,adult,R1,1.903523649569227,2006
104,4,pediatric,R2,1.5467663985996627,2006
105,28,adult,R1,2.0182522718641365,2006
106,61,adult,R2,0.7351484247139504,2006
107,86,senior,R1,0.6598702503014865,2006
108,71,senior,R2,0.3618358776491813,2006
109,64,adult,R1,1.8521741025655096,2006
110,53,adult,R2,0.5880065301986046,2006
111,82,senior,R3,3.0095745172903086,2006
112,10,pediatric,R3,2.294521241748933,2006
113,59,adult,R3,2.8889810236110165,2006
114,43,adult,R3,1.3655824347797103,2006
115,79,senior,R3,2.4366722204895916,2006
116,37,adult,R2,0.4571491631474624,2006
117,87,senior,R1,1.2460668995203183,2006
118,16,pediatric,R2,3.0082995331587195,2006
119,38,adult,R3,0.6870962319563022,2006
120,68,senior,R2,0.9250645659854492,2006
