sweep_type,perturb_param,perturb_factor,scenario_id,scenario_name,seed,N,M,K,L_reg_slack,n_total,Q_condition_number,Q_eigenvalue_min,Q_eigenvalue_max,Q_eigenvalue_count_negative,energy_greedy,objective_raw_greedy,penE_onehot_greedy,penE_reg_greedy,penE_afford_greedy,penE_total_greedy,viol_onehot_y_greedy,viol_onehot_z_greedy,viol_reg_shortfall_greedy,viol_afford_greedy,chosen_premium_band_greedy,chosen_deductible_band_greedy,selected_features_count_greedy,selected_reg_features_count_greedy,onehot_ok_greedy,reg_satisfied_greedy,affordability_satisfied_greedy,is_feasible_greedy,energy_sa_best,objective_raw_sa_best,penE_onehot_sa,penE_reg_sa,penE_afford_sa,penE_total_sa,viol_onehot_y_sa,viol_onehot_z_sa,viol_reg_shortfall_sa,viol_afford_sa,chosen_premium_band_sa,chosen_deductible_band_sa,selected_features_count_sa,selected_reg_features_count_sa,onehot_ok_sa,reg_satisfied_sa,affordability_satisfied_sa,is_feasible_sa,greedy_runtime_sec,sa_runtime_sec,sa_best_found_at_step,sa_convergence_fraction,total_classical_runtime_sec,gap_greedy_to_sa_energy,gap_greedy_to_sa_raw,R_size,Rmin,lambda_risk,affordability_enabled,use_tight_regulation,scale_factor,A_onehot,B_reg,D_afford,qterm_total_greedy_signed,qterm_total_sa_signed,qterm_total_gurobi_signed,gurobi_ran,energy_gurobi,objective_raw_gurobi,penE_onehot_gurobi,penE_reg_gurobi,penE_afford_gurobi,penE_total_gurobi,viol_onehot_y_gurobi,viol_onehot_z_gurobi,viol_reg_shortfall_gurobi,viol_afford_gurobi,chosen_premium_band_gurobi,chosen_deductible_band_gurobi,selected_features_count_gurobi,selected_reg_features_count_gurobi,onehot_ok_gurobi,reg_satisfied_gurobi,affordability_satisfied_gurobi,is_feasible_gurobi,gurobi_status_code,gurobi_status_name,gurobi_mip_gap,gurobi_runtime_sec,gap_sa_to_gurobi_energy,gap_sa_to_gurobi_raw,gurobi_mode,gurobi_time_limit_used
baseline,,1.0,1,S1_cost_only,1000,20,4,5,2,31,24573.88465476624,-1084421.960188995,3670384.978463332,10,-1356187.8503304468,564.9121240416691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2,2,1,1,1,1,-1356787.8503304468,-35.08787595833087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3,2,2,1,1,1,1,0.0215681,20.0993455,175,0.004375,20.1209136,600.0,600.0,3,2,0.0,0,0,10.0,135675.27624544883,271350.5524908977,0.0,-1356752.7624544883,-1356752.7624544883,-1356752.7624544883,1,-1356787.8503304468,-35.08787595833087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,OPTIMAL,0.0,0.0072127999999999,0.0,0.0,baseline,3600.0
baseline,,1.0,1,S1_cost_only,1001,20,4,5,2,31,25645.26953419508,-902935.51075245,3056128.41358959,10,-1126343.301704012,3341.384998974352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,3,3,1,1,1,1,-1129904.7402950183,-220.0535920322436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3,2,2,1,1,1,1,0.0162607999999999,19.9937326,168,0.0042,20.009993400000003,3561.4385910064448,3561.438591006596,3,2,0.0,0,0,10.0,112968.4686702986,225936.9373405972,0.0,-1129684.686702986,-1129684.686702986,-1129684.686702986,1,-1129904.7402950183,-220.0535920322436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,OPTIMAL,0.0,0.0067688,0.0,0.0,baseline,3600.0
baseline,,1.0,1,S1_cost_only,1002,20,4,5,2,31,16770.934620330027,-651344.5613891204,2204087.330713778,10,-815289.6753635337,-546.8643135222819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,2,2,1,1,1,1,-815710.919794118,-968.1087441067044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3,2,2,1,1,1,1,0.0185974999999999,26.196857100000003,66,0.00165,26.2154546,421.24443058436736,421.2444305844224,3,2,0.0,0,0,10.0,81474.28110500115,162948.5622100023,0.0,-814742.8110500115,-814742.8110500115,-814742.8110500115,1,-815710.919794118,-968.1087441067044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,OPTIMAL,0.0,0.0075925,0.0,0.0,baseline,3600.0
baseline,,1.0,1,S1_cost_only,1003,20,4,5,2,31,8340.04323405617,-1333611.8490237088,4510845.989484355,10,-1666345.2603259375,1100.4614093649625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,2,2,1,1,1,1,-1668756.2649873751,-1310.5432520727998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4,2,2,1,1,1,1,0.0175242999999999,19.9534468,71,0.001775,19.9709711,2411.0046614375897,2411.0046614377625,3,2,0.0,0,0,10.0,166744.57217353024,333489.1443470605,0.0,-1667445.7217353024,-1667445.7217353024,-1667445.7217353024,1,-1668756.2649873751,-1310.5432520727998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,OPTIMAL,0.0,0.0069549999999999,0.0,0.0,baseline,3600.0
baseline,,1.0,1,S1_cost_only,1004,20,4,5,2,31,22637.46086217492,-1124990.667881281,3806154.277088356,10,-1406945.8272024295,-4.518351637427713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,2,2,1,1,1,1,-1407745.8272024295,-804.5183516374277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3,2,2,1,1,1,1,0.0218130999999999,21.0770477,31,0.000775,21.0988608,800.0,800.0,3,2,0.0,0,0,10.0,140694.13088507918,281388.2617701584,0.0,-1406941.3088507918,-1406941.3088507918,-1406941.3088507918,1,-1407745.8272024295,-804.5183516374277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,OPTIMAL,0.0,0.0069632999999999,0.0,0.0,baseline,3600.0
baseline,,1.0,1,S1_cost_only,1005,20,4,5,2,31,12598.90798210478,-1293113.64697227,4376020.307522331,10,-1616338.3093041098,1252.4616438753992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,2,2,1,1,1,1,-1616938.3093041098,652.4616438753992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2,2,2,1,1,1,1,0.0167997,20.770895900000003,49,0.001225,20.787695600000003,600.0,600.0,3,2,0.0,0,0,10.0,161759.07709479853,323518.15418959706,0.0,-1617590.7709479854,-1617590.7709479854,-1617590.7709479854,1,-1616938.3093041098,652.4616438753992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,OPTIMAL,0.0,0.0069159999999999,0.0,0.0,baseline,3600.0
baseline,,1.0,1,S1_cost_only,1006,20,4,5,2,31,26309.95232179838,-949029.307963396,3211024.381483434,10,-1187679.2551258097,-725.8918707398266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,2,2,1,1,1,1,-1187879.2551258097,-925.8918707398266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,2,2,1,1,1,1,0.0147316,19.972159,33,0.000825,19.9868906,200.0,200.0,3,2,0.0,0,0,10.0,118695.33632550696,237390.67265101397,0.0,-1186953.3632550696,-1186953.3632550696,-1186953.3632550696,1,-1187879.2551258097,-925.8918707398266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,OPTIMAL,0.0,0.0067836,0.0,0.0,baseline,3600.0
baseline,,1.0,1,S1_cost_only,1007,20,4,5,2,31,20189.642336383706,-826518.2672937483,2797054.2828667155,10,-1034033.9113866764,-99.8367408470924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,2,2,1,1,1,1,-1034533.9113866764,-599.8367408470924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2,2,2,1,1,1,1,0.0172308999999999,20.0984231,147,0.003675,20.115654000000003,500.0,500.0,3,2,0.0,0,0,10.0,103393.40746458294,206786.81492916588,0.0,-1033934.0746458294,-1033934.0746458294,-1033934.0746458294,1,-1034533.9113866764,-599.8367408470924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,OPTIMAL,0.0,0.0070846999999999,0.0,0.0,baseline,3600.0
baseline,,1.0,1,S1_cost_only,1008,20,4,5,2,31,9827.452804165596,-976434.5061760905,3305018.812034183,10,-1221185.9286075055,516.4343832258842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2,2,1,1,1,1,-1221785.9286075055,-83.56561677411582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3,2,2,1,1,1,1,0.0189246,22.0287052,118,0.00295,22.0476298,600.0,600.0,3,2,0.0,0,0,10.0,122170.23629907316,244340.47259814636,0.0,-1221702.3629907316,-1221702.3629907316,-1221702.3629907316,1,-1221785.9286075055,-83.56561677411582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,OPTIMAL,0.0,0.0074474,0.0,0.0,baseline,3600.0
baseline,,1.0,1,S1_cost_only,1009,20,4,5,2,31,10957.791963680836,-949717.1839982616,3212362.4599085557,10,-1187425.446882198,34.71897718771197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2,3,3,1,1,1,1,-1188958.243271514,-1498.0774121283323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2,2,2,1,1,1,1,0.0152257999999999,20.435198,70,0.00175,20.4504238,1532.7963893159758,1532.7963893160445,3,2,0.0,0,0,10.0,118746.01658593856,237492.03317187715,0.0,-1187460.165859386,-1187460.165859386,-1187460.165859386,1,-1188958.243271514,-1498.0774121283323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,OPTIMAL,0.0,0.0067927999999999,0.0,0.0,baseline,3600.0
