benchmark_family,instance_id,seed,N,sa_raw_objective,sa_echo_raw_objective,pair_complete,gap_echo_to_sa,echo_beats_sa,echo_ties_sa,echo_loses_sa,eigen_min,eigen_max,condition_number,neg_eigs,edge_prob,num_edges,k_frac,K_card,penalty_weight,kappa_target,neg_frac,budget_total_flips,target_flips_used,echo_final_stage_flips,echo_final_stage_frac,echo_tau0,echo_num_stages,echo_best_stage
maxcut,maxcut_N100_seed1000,1000,100,-239.76771259231376,-239.76771259231376,1,0.0,0,1,0,-18.21693453775121,28.670333065492024,826.7302778924195,46,0.5,2464,,,1.0,,,200000,140000,140000,0.7,18.21693453775121,2,1
maxcut,maxcut_N100_seed1001,1001,100,-284.708383632581,-284.708383632581,1,0.0,0,1,0,-24.847089020072676,20.069952598844296,1598.282474511761,53,0.5,2515,,,1.0,,,200000,140000,140000,0.7,24.847089020072676,2,1
maxcut,maxcut_N100_seed1002,1002,100,-207.99943244704684,-206.54863138118105,1,1.4508010658657895,0,0,1,-17.85343824471079,25.473740367493363,202.8458261866694,43,0.5,2497,,,1.0,,,200000,140000,140000,0.7,17.85343824471079,2,1
maxcut,maxcut_N100_seed1003,1003,100,-193.8330195163679,-193.83301951636787,1,2.842170943040401e-14,0,1,0,-19.370619870815624,23.64896490531257,4153.318148219247,40,0.5,2411,,,1.0,,,200000,140000,140000,0.7,19.370619870815624,2,1
maxcut,maxcut_N100_seed1004,1004,100,-259.1266025465777,-256.2220978834049,1,2.9045046631728155,0,0,1,-21.82342070144979,26.179431815551588,227.2537570073434,52,0.5,2416,,,1.0,,,200000,140000,140000,0.7,21.82342070144979,2,1
maxcut,maxcut_N100_seed1005,1005,100,-274.307875923484,-273.5029221757227,1,0.8049537477613171,0,0,1,-27.410665808606822,23.303491090030924,419.80939505111104,54,0.5,2479,,,1.0,,,200000,140000,140000,0.7,27.410665808606822,2,1
maxcut,maxcut_N100_seed1006,1006,100,-251.7125315333722,-251.7125315333722,1,0.0,0,1,0,-22.810553361849003,21.094959771613752,15087.967332868748,49,0.5,2433,,,1.0,,,200000,140000,140000,0.7,22.810553361849003,2,1
maxcut,maxcut_N100_seed1007,1007,100,-237.72943055802816,-237.72943055802816,1,0.0,0,1,0,-22.93414534651093,20.650734348068493,167.0741697517729,47,0.5,2480,,,1.0,,,200000,140000,140000,0.7,22.93414534651093,2,1
maxcut,maxcut_N100_seed1008,1008,100,-241.76400981136217,-241.76400981136211,1,5.684341886080802e-14,0,1,0,-20.907721618314444,19.488201834312743,760.7633085970987,49,0.5,2442,,,1.0,,,200000,140000,140000,0.7,20.907721618314444,2,1
maxcut,maxcut_N100_seed1009,1009,100,-275.31776136991215,-271.309731810018,1,4.008029559894169,0,0,1,-23.532346751233327,19.52586176097146,534.5177540007323,51,0.5,2464,,,1.0,,,200000,140000,140000,0.7,23.532346751233327,2,1
maxcut,maxcut_N100_seed1010,1010,100,-265.53861789694463,-265.53861789694463,1,0.0,0,1,0,-26.327191939473348,17.183173927873085,142.3721546064217,50,0.5,2484,,,1.0,,,200000,140000,140000,0.7,26.327191939473348,2,1
maxcut,maxcut_N100_seed1011,1011,100,-306.2077571557645,-306.2077571557645,1,0.0,0,1,0,-22.285625881083845,19.982250387220816,266.7574038730682,57,0.5,2492,,,1.0,,,200000,140000,140000,0.7,22.285625881083845,2,1
maxcut,maxcut_N100_seed1012,1012,100,-261.0278628019575,-259.2063845205338,1,1.8214782814237083,0,0,1,-21.53975820717864,22.19283623191996,387.6997882030868,50,0.5,2475,,,1.0,,,200000,140000,140000,0.7,21.53975820717864,2,1
maxcut,maxcut_N100_seed1013,1013,100,-265.8276841594931,-268.7331045125414,1,-2.905420353048271,1,0,0,-22.39200187387651,21.153206459314287,157.09387162438728,50,0.5,2463,,,1.0,,,200000,140000,140000,0.7,22.39200187387651,2,1
maxcut,maxcut_N100_seed1014,1014,100,-213.3151655279184,-213.3151655279184,1,0.0,0,1,0,-22.62784286878504,23.11060461712564,981.46801032706,44,0.5,2480,,,1.0,,,200000,140000,140000,0.7,22.62784286878504,2,1
maxcut,maxcut_N100_seed1015,1015,100,-238.53838174287137,-238.50294114465024,1,0.035440598221128994,0,0,1,-19.84998697126615,22.63179437774493,94.28634668360137,47,0.5,2437,,,1.0,,,200000,140000,140000,0.7,19.84998697126615,2,1
maxcut,maxcut_N100_seed1016,1016,100,-240.1384414944769,-237.17844786715224,1,2.95999362732465,0,0,1,-18.01888754828817,21.098623433715336,1327.6317898946993,49,0.5,2439,,,1.0,,,200000,140000,140000,0.7,18.01888754828817,2,1
maxcut,maxcut_N100_seed1017,1017,100,-273.3753639495821,-273.3753639495821,1,0.0,0,1,0,-24.05532838265957,25.551620533310963,139.10792791287423,48,0.5,2509,,,1.0,,,200000,140000,140000,0.7,24.05532838265957,2,1
maxcut,maxcut_N100_seed1018,1018,100,-223.83362733160885,-223.83362733160885,1,0.0,0,1,0,-17.469589717210916,25.71663774372397,188.14881284992404,42,0.5,2451,,,1.0,,,200000,140000,140000,0.7,17.469589717210916,2,1
maxcut,maxcut_N100_seed1019,1019,100,-257.2449731268333,-258.062436008052,1,-0.8174628812186597,1,0,0,-25.7169288029437,20.67047792525177,458.0431642587772,48,0.5,2448,,,1.0,,,200000,140000,140000,0.7,25.7169288029437,2,1
maxcut,maxcut_N150_seed1000,1000,150,-405.2746773099437,-403.35366124527707,1,1.9210160646666168,0,0,1,-23.5522162582156,29.637101827459745,369.97009737039673,68,0.5,5566,,,1.0,,,300000,210000,210000,0.7,23.5522162582156,2,1
