scenario_id,scenario_name,feature_size_N,seed,seed_regime_used_by_runner,master_generation_N
1,S1_cost_only,20,1000,core,50
1,S1_cost_only,20,1001,core,50
1,S1_cost_only,20,1002,core,50
1,S1_cost_only,20,1003,core,50
1,S1_cost_only,20,1004,core,50
1,S1_cost_only,20,1005,core,50
1,S1_cost_only,20,1006,core,50
1,S1_cost_only,20,1007,core,50
1,S1_cost_only,20,1008,core,50
1,S1_cost_only,20,1009,core,50
1,S1_cost_only,20,1010,core,50
1,S1_cost_only,20,1011,core,50
1,S1_cost_only,20,1012,core,50
1,S1_cost_only,20,1013,core,50
1,S1_cost_only,20,1014,core,50
1,S1_cost_only,20,1015,core,50
1,S1_cost_only,20,1016,core,50
1,S1_cost_only,20,1017,core,50
1,S1_cost_only,20,1018,core,50
1,S1_cost_only,20,1019,core,50
1,S1_cost_only,30,1000,core,50
1,S1_cost_only,30,1001,core,50
1,S1_cost_only,30,1002,core,50
1,S1_cost_only,30,1003,core,50
1,S1_cost_only,30,1004,core,50
1,S1_cost_only,30,1005,core,50
1,S1_cost_only,30,1006,core,50
1,S1_cost_only,30,1007,core,50
1,S1_cost_only,30,1008,core,50
1,S1_cost_only,30,1009,core,50
1,S1_cost_only,30,1010,core,50
1,S1_cost_only,30,1011,core,50
1,S1_cost_only,30,1012,core,50
1,S1_cost_only,30,1013,core,50
1,S1_cost_only,30,1014,core,50
1,S1_cost_only,30,1015,core,50
1,S1_cost_only,30,1016,core,50
1,S1_cost_only,30,1017,core,50
1,S1_cost_only,30,1018,core,50
1,S1_cost_only,30,1019,core,50
1,S1_cost_only,40,1000,core,50
1,S1_cost_only,40,1001,core,50
1,S1_cost_only,40,1002,core,50
1,S1_cost_only,40,1003,core,50
1,S1_cost_only,40,1004,core,50
1,S1_cost_only,40,1005,core,50
1,S1_cost_only,40,1006,core,50
1,S1_cost_only,40,1007,core,50
1,S1_cost_only,40,1008,core,50
1,S1_cost_only,40,1009,core,50
1,S1_cost_only,40,1010,core,50
1,S1_cost_only,40,1011,core,50
1,S1_cost_only,40,1012,core,50
1,S1_cost_only,40,1013,core,50
1,S1_cost_only,40,1014,core,50
1,S1_cost_only,40,1015,core,50
1,S1_cost_only,40,1016,core,50
1,S1_cost_only,40,1017,core,50
1,S1_cost_only,40,1018,core,50
1,S1_cost_only,40,1019,core,50
1,S1_cost_only,50,1000,core,50
1,S1_cost_only,50,1001,core,50
1,S1_cost_only,50,1002,core,50
1,S1_cost_only,50,1003,core,50
1,S1_cost_only,50,1004,core,50
1,S1_cost_only,50,1005,core,50
1,S1_cost_only,50,1006,core,50
1,S1_cost_only,50,1007,core,50
1,S1_cost_only,50,1008,core,50
1,S1_cost_only,50,1009,core,50
1,S1_cost_only,50,1010,core,50
1,S1_cost_only,50,1011,core,50
1,S1_cost_only,50,1012,core,50
1,S1_cost_only,50,1013,core,50
1,S1_cost_only,50,1014,core,50
1,S1_cost_only,50,1015,core,50
1,S1_cost_only,50,1016,core,50
1,S1_cost_only,50,1017,core,50
1,S1_cost_only,50,1018,core,50
1,S1_cost_only,50,1019,core,50
1,S1_cost_only,60,2000,stress,300
1,S1_cost_only,60,2001,stress,300
1,S1_cost_only,60,2002,stress,300
1,S1_cost_only,60,2003,stress,300
1,S1_cost_only,60,2004,stress,300
1,S1_cost_only,60,2005,stress,300
1,S1_cost_only,60,2006,stress,300
1,S1_cost_only,60,2007,stress,300
1,S1_cost_only,60,2008,stress,300
1,S1_cost_only,60,2009,stress,300
1,S1_cost_only,100,2000,stress,300
1,S1_cost_only,100,2001,stress,300
1,S1_cost_only,100,2002,stress,300
1,S1_cost_only,100,2003,stress,300
